text,bin_toxicity,lang,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,pred_toxicity,pred_insult,pred_obscene,pred_identity_attack,pred_threat,pred_severe_toxicity,pred_bin_toxicity,llama_justification,llama_is_ironic,llama_fragments
"Trump is a smuck, should be fired. in the first 3 days
new news Trump to hire his own news team, which we will have to trust. Called RT-Trump.",1,eng,0.6,0.0,0.0,0.0,0.7,0.0,0.0,0.4873542189598083,0.2329747974872589,0.1002750769257545,0.0082237245514988,0.0008693880517967,0.0017680275486782,0,"The text contains a derogatory term for Trump and expresses support for him being fired, which is a negative and critical statement.",False,"['Trump is a smuck', 'should be fired']"
"So, this would be the alternative to the nuclear deal dressed up as a pigs ear?  

Oops, sorry, silk purse...",1,eng,0.6,0.0,0.1,0.1,0.5,0.0,0.0,0.0157513339072465,0.0007066711550578,0.0007291825604625,0.0002469805476721,0.0001394770661136,9.823765867622568e-05,0,The phrase is using sarcasm to describe a situation where something that sounds appealing on the surface (silk purse) is actually undesirable or unappealing (pigs ear),True,"['So, this would be', 'Oops, sorry, silk purse...']"
"Trump is comically thin-skinned and the press is making him look stupid, so of course he's going to do whatever he can to sideline them, try to lift up those ""alternative"" news outlets that are friendly to him to take their place, and make up whatever positive spin he can to convince himself, and his followers, that he's on top of his game.

When it doesn't work he's going to get frustrated and bored, and then someone like Jared Kushner will be the functioning president, forwarded in the next election cycle as Trump's successor---And Trumpkins across the nation will fawn all over him, for whatever that'll be worth.  

Hopefully the economy won't be in a tailspin by then, but if it is, they'll have a newly minted democratic congress and senate to blame it on...",1,eng,0.7,0.0,0.2,0.0,0.6,0.0,0.0,0.1499712169170379,0.032549649477005,0.006362922489643,0.0057053258642554,0.000692187633831,0.0004711375804618,0,"The text contains negative and critical statements about Trump and his supporters, which could be perceived as toxic.",False,"['Trump is comically thin-skinned', 'Trumpkins across the nation will fawn all over him']"
I hope all you Far Left whiners don't go out and commit suicide based on the Comey hearing today.  Your leadership and the news media has led you over the cliff with their fictitious articles and speeches.  You need to go back to the election and not accept the false narrative that Clinton lost the election because of the Russians.  Clinton lost because she was a poor candidate under investigation by the FBI.  Get over it.,1,eng,0.7,0.0,0.0,0.1,0.7,0.0,0.0,0.2845703959465027,0.0084794117137789,0.0035552796907722,0.0057514598593115,0.0893418416380882,0.0020558792166411,0,"The text contains hate speech and incitement towards suicide, targeting a specific political group. It also promotes misinformation about the Clinton election loss.",False,"[""I hope all you Far Left whiners don't go out and commit suicide"", 'Clinton lost because she was a poor candidate under investigation by the FBI']"
"This is more than just ""rich"" skiers.  Summer traffic up there can be brutal as well.  Driving I-70 on just about any weekend, summer or winter kinda sucks these days.

Otherwise, I agree with you",1,eng,0.8,0.1,0.7,0.0,0.3,0.0,0.0,0.0251226965337991,0.0015254899626597,0.0094736199826002,0.0003874763497151,0.0002428007428534,0.0003730097960215,0,None,False,[]
"""Councilmembers Ron Menor, Ikaika Anderson, Joey Manahan, Kymberly Pine and Brandon Elefante joined Ozawa""  These are the ones that need to be voted out next election!  Bunch of clowns.",1,eng,0.8333333,0.0,0.0,0.0,0.8333333,0.16666667,0.0,0.1468100547790527,0.0144057553261518,0.0025414675474166,0.000938378390856,0.000232653110288,0.0001916755136335,0,"The text contains derogatory language and personal attacks against council members, which can be considered toxic.",False,"['These are the ones that need to be voted out next election!', 'Bunch of clowns.']"
"No, but as his butt boy like our Justin Credible.",1,eng,0.67142856,0.028571429,0.35714287,0.0,0.27142859,0.014285714,0.6571429,0.4448331296443939,0.1231162697076797,0.1844814121723175,0.0036757087800651,0.0004630846960935,0.0020412588492035,0,"The term 'butt boy' is a derogatory and sexist slur used to demean someone, particularly a man, in a sexual manner. Using this phrase to refer to Justin Credible implies objectification and disrespect.",True,"['No', 'but as his butt boy like our Justin Credible']"
"Indians are already started a race war ,it is just that white people aren't biting. Indians have already killed one person with their night hunting. Indians would rather complain then address a problem.",1,eng,0.7,0.0,0.0,0.1,0.4,0.7,0.0,0.1277939081192016,0.0077852304093539,0.0064541297033429,0.0943740308284759,0.0037515643052756,0.0025914243888109,0,"The text contains racist and xenophobic language, making assumptions about an entire group of people based on their ethnicity. It also promotes violence and stereotypes.",False,"['Indians are already started a race war', 'Indians have already killed one person with their night hunting']"
"People who won't let Trump (the 2016 electoral winner) do whatever he wants in office are despots.  Also known as Democrats and Hilary Clinton.

(Constitution be damned.  And if you disagree, you're a despot.)",1,eng,0.6,0.0,0.4,0.0,0.5,0.0,0.0,0.3884482383728027,0.0659964084625244,0.0395475216209888,0.0069811679422855,0.0009892695816233,0.0008317417232319,0,"The text contains derogatory language and labels certain political groups as 'despots', which is a pejorative term. The tone is also dismissive and condescending.",False,"[""People who won't let Trump (the 2016 electoral winner) do whatever he wants in office are despots."", 'Also known as Democrats and Hilary Clinton.', ""Constitution be damned. And if you disagree, you're a despot.""]"
"Bruce IS a born and raised there Californian. 
And he is Pure WT. 
That moron is doing as much damage as he can thoughout his life. 

Considering that the dems are NOT the ones that run up massive debts, but the GOP does, says that you should fear the GOP much more. 
For example, 2/3 of COlorado's debt comes from Owens and the GOP. 
It is no different in the federal budget. It is the GOP that continues to blow through money. 
ACA was fully funded, and now, the GOP is purposely playing games and driving the price up.
OTOH, the Medicare Part D that was created by the GOP and voted in by the GOP, cost MORE than ACA, serves a small fraction of citizens, and was not funded for a single penny. It all comes from general revenue.",1,eng,0.7,0.0,0.1,0.0,0.7,0.0,0.0,0.343224823474884,0.2204661220312118,0.1393790990114212,0.0221640057861804,0.0014923247508704,0.0046738344244658,0,"The text contains derogatory language towards a political figure and party, which can be perceived as toxic.",False,['That moron is doing as much damage as he can thoughout his life.']
The article says he confessed and they caught him doing the killing. How in the hell can he plead not guilty??? Why spent time and money screwing with this person. Sent him to the gas chamber in what ever state still has one and uses it!!!,1,eng,0.5810811,0.08108108,0.3918919,0.27027026,0.13513513,0.013513514,0.4189189,0.3905120193958282,0.0245137084275484,0.1175481453537941,0.0007343219476751,0.0008485095459036,0.0011223887559026,0,"The text expresses outrage and frustration towards someone who has confessed to a crime and is now pleading not guilty. The language used is aggressive and calls for capital punishment, which can be seen as promoting violence and intolerance.",False,"['How in the hell can he plead not guilty???', 'Why spent time and money screwing with this person.', 'Sent him to the gas chamber in what ever state still has one and uses it!!']"
The ninth district should be broken up. It makes no sense that liberal states like California and states like Idaho under the same liberal idiots. If the justices were elected by the people it would be a different situation.,1,eng,0.6,0.0125,0.1625,0.0,0.6,0.0875,0.0,0.08358696103096,0.0147484233602881,0.0050899880006909,0.0066734431311488,0.0004857397580053,0.0005163379828445,0,"The text contains derogatory language towards liberal individuals and groups, which can be perceived as discriminatory and divisive.",False,"['liberal idiots', 'liberal states like California and states like Idaho under the same']"
And the hits just keep on coming. Nunes is as crooked as Trump.,1,eng,0.5081967,0.0,0.0,0.0,0.52459013,0.016393442,0.0,0.0662457421422004,0.0037303485441952,0.0016919360496103,0.0004931236617267,0.0002008040028158,0.0001465289096813,0,"The comparison between Nunes and Trump implies a negative connotation towards Nunes, suggesting he is corrupt or untrustworthy.",False,"['Nunes', 'Trump']"
"Let's see, Tory, Wynne, Trudeau, Nutley, etc: A nasty disaster is in store for us Canadians",1,eng,0.8,0.0,0.0,0.0,0.7,0.1,0.0,0.0137522956356406,0.0006054816185496,0.000357799930498,0.0007090001017786,0.000653141119983,0.0001717370178084,0,"The text contains a negative statement about Canada and its leaders, which could be perceived as divisive or inflammatory.",False,['A nasty disaster is in store for us Canadians']
"I called in to report a lady today on W. 11th in a Blue 4-runner just goofing off with her phone in hand who almost hit me.  She was weaving in and out of lanes with no signals, being oblivious. Then this idiot acted like I was wrong for noticing.  I don't play around, I got her plates, description and called it in right away. I doubt anything was done.
Sadly,  most drivers don't care and rarely do law enforcement. My guess is EPD didn't even respond. How many does it take to die over a darn phone?",1,eng,0.8,0.05,0.575,0.1,0.675,0.0125,0.025,0.3275791108608246,0.1596984416246414,0.0889537408947944,0.0030186064541339,0.0008546257158741,0.0015783634735271,0,"The text contains a strong anti-driver sentiment and uses derogatory language to describe the driver, which can be perceived as toxic.",False,['How many does it take to die over a darn phone?']
"Nice try Putin.  We're not as dumb as you need us to be, sorry.",1,eng,0.6527778,0.013888889,0.041666668,0.013888889,0.6527778,0.0,0.0,0.2540881633758545,0.0252814032137393,0.0087551735341548,0.0184169635176658,0.0006997978198342,0.0006921628955751,0,"The tone implies criticism and disrespect towards Putin, using a sarcastic tone to convey that the speaker is not as gullible as the speaker thinks Putin wants them to be.",True,"['Nice try', ""We're not as dumb as you need us to be""]"
"Begging for war by the insane : Trump, ain""t no big deal?
who knew?",1,eng,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.2258114516735077,0.0081434361636638,0.0043620197102427,0.0060623669996857,0.001629194128327,0.0004005373630207,0,"The text contains a sarcastic tone towards Trump and implies that his actions are not a big deal, which is ironic given the context of war.",True,"['Begging for war by the insane : Trump, ain']"
Crooked lieberals. Any surprise ?,1,eng,0.8333333,0.0,0.0,0.0,0.8333333,0.0,0.0,0.0019265725277364,0.0002350804570596,0.0002033302007475,0.0001607041922397,8.751208224566653e-05,8.863606490194798e-05,0,"The term contains derogatory language towards a specific political group, which can be perceived as discriminatory and hurtful.",False,"['Crooked', 'lieberals']"
"Some of these comments are obviously from Syria's useful idiots. 

Look, even if it is the rebels who used the gas, what choice did they have? Assad is a monster, and with Putin's backing he is winning. What are they supposed to do, just let him? Not everyone gets to survive war. Sometimes innocents are sacrificed. It's ugly but the rebels need our support and showing the world the risks is justified.",1,eng,1.0,0.2,0.0,0.2,1.0,0.6,0.0,0.488171249628067,0.1508360505104065,0.0663428083062172,0.0577567964792251,0.0021765592973679,0.0029524008277803,0,"The text contains a morally ambiguous and potentially dehumanizing justification for supporting rebels who may have used chemical weapons, downplaying the suffering of innocents.",False,"['Not everyone gets to survive war', 'Sometimes innocents are sacrificed']"
"Yep.  Thing is, it's also falling on the Democrats.  This ""ban"" originated during the Obama administration by Obama himself.  The Dems do this garbage too.  But it's rare I hear their supporters have issue with it until a Republican does it.",1,eng,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.1453182101249694,0.0070248846895992,0.0207844991236925,0.001564355334267,0.0003652433806564,0.0004647042660508,0,"The statement contains a tone of hypocrisy and bias towards one political party over another, which can be perceived as toxic.",True,"['Yep', ""But it's rare I hear their supporters have issue with it until a Republican does it""]"
"Does this nutcase not realize how many people died on 9/11? Does she really think her losing the Pres election equates to that many lives being lost? Rather than blame Russia, Comey, Bernie, etc., why doesn't she just ask those of us who voted for Obama but not her why we didn't vote for her. She will hear about a lack of accomplishment, bad decisions, the Clinton Foundation, the arrogance, the corruption. She will hear many of us made our minds up the day she forced herself, I mean announced her candidacy. She ran a horrible campaign. We saw it. We lived through it. She makes herself look foolish when she offers these lame untrue excuses.",1,eng,0.7,0.0,0.0,0.1,0.7,0.0,0.0,0.0795806720852851,0.0108490213751792,0.0052779112011194,0.0012628374388441,0.0003117116575594,0.0003068858059123,0,"The text contains derogatory language and personal attacks against a political figure, including accusations of being a ""nutcase"", making false excuses, and having an arrogant and corrupt personality. The tone is aggressive and dismissive.",False,"['Does she really think her losing the Pres election equates to that many lives being lost?', 'She makes herself look foolish when she offers these lame untrue excuses.']"
"Oh no, Sara.  America stands tall and ready to give tRumpity the bumpity.  I can't wait to stand in line and give him a swift kick.",1,eng,0.6,0.0,0.0,0.4,0.2,0.0,0.0,0.00227040075697,0.0002353897725697,0.0002049338072538,0.0002087718021357,0.0001569172454765,0.0001040449278661,0,"The text contains a sarcastic tone towards Donald Trump, using phrases like 'stand tall and ready to give tRumpity the bumpity' and 'give him a swift kick', which are typically associated with physical confrontation or aggression. The use of 'I can't wait' adds to the ironic nature of the statement.",True,"['stand in line', 'give him a swift kick']"
"""Mr. Trump has done more for Americans in under 100 days than Obama did in 8 years.""
Come on Dolphin, that's just ridiculous.",1,eng,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.0235642977058887,0.0009640831849537,0.0007506239926442,0.000738676986657,0.0002042551350314,0.0001378329907311,0,"The comment uses sarcasm to express disagreement with the statement, implying that the comparison is not valid or fair.",True,"['Come on', ""that's just ridiculous""]"
"Perhaps the debate does belong in Congress, but as we all know, the Republican led Congress is incompetent.",1,eng,0.6,0.0,0.0,0.1,0.5,0.2,0.0,0.0011196229606866,0.0001902577932924,0.0001749765942804,0.0001532240858068,0.0001050266946549,9.92260393104516e-05,0,"The statement is toxic because it attacks a political party and their leadership with a negative label, which can be perceived as inflammatory.",True,"['the Republican led Congress', 'incompetent']"
"So abject stupidity is a prerequisite for getting a CNN show?? Does Jimbo realize that the poem he so reverently worships was written as part of a fund raiser for the SOL pedestal? Nah I didn't think so. As far as Trump wanting to control the ethnic make-up of our country, so what?? The Democrats openly stated their determination to make America ""browner"" when they drastically altered the immigration policies 50 years ago. (They even said America would be ""better"" if we changed to a ""brown"" country without explaining why). The level of self-hate and loathing with liberals is appalling.",1,eng,0.7,0.0,0.1,0.0,0.6,0.2,0.0,0.1710448116064071,0.0157461520284414,0.0167077034711837,0.0021532389800995,0.0005201326566748,0.0004884687368758,0,"The text contains derogatory language and stereotypes towards certain groups, including liberals and people of color. It also promotes conspiracy theories about Democrats' intentions regarding immigration policies.",False,"['So abject stupidity is a prerequisite for getting a CNN show??', 'The level of self-hate and loathing with liberals is appalling.']"
"Trudeau is so pathetic leader that he actually says he will do local meetings with Canadians rather then go to Trump's inauguration?.....what a bunch of B.S, When has Trudeau ever not wanted to do ""selfies"".",1,eng,0.62857145,0.014285714,0.071428575,0.0,0.6142857,0.028571429,0.0,0.4778068363666534,0.1085564345121383,0.0145713724195957,0.0031414737459272,0.0003873804816976,0.0005441416869871,0,"The text contains derogatory language and insults towards Trudeau, which can be perceived as bullying or belittling. The tone is also dismissive and mocking, with phrases like ""what a bunch of B.S"" and ""When has Trudeau ever not wanted to do 'selfies'"", which are likely meant to humiliate the politician.",False,"['Trudeau', 'pathetic leader', 'B.S', 'selfies']"
"The Trudeau cabinet members and staff appear to have no sense of ethical responsibility.
Brison's response is cavalier and shows he is completely unaware that this is a serious allegation of impropriety.
Having a gay husband doesn't give him a free pass.",1,eng,0.6,0.0,0.0,0.0,0.4,0.5,0.0,0.0162674225866794,0.0010995304910466,0.0005900681717321,0.0027235576417297,0.0002424201957182,0.0002264442882733,0,The statement contains a discriminatory remark against Brison's sexual orientation and implies that his personal life makes him less capable of handling ethical responsibilities.,False,"[""Having a gay husband doesn't give him a free pass.""]"
"Comey, just another lying law enforcement official. And to think he actually was the top dog at th FBI.",1,eng,0.7,0.0,0.0,0.0,0.7,0.0,0.0,0.0201373435556888,0.0019824281334877,0.0013485915260389,0.0003390555502846,0.000133704917971,0.0001624647702556,0,"The text contains derogatory language towards a law enforcement official, implying he is dishonest and untrustworthy.",False,"['Comey', 'lying law enforcement official']"
My favorite is the piece done on two women that said Trump harassed them. The reporter made up a whole bunch of things that the women said they never did say. The NY Times is the slim of so called reporting. There are no respectful news outlets left in this country. They get a story and add all their own views and not telling the real stuff. The news these days is just a hunk of crap. Except when the Post says the Bronco's are gong down the toilet.,1,eng,0.6,0.0,0.2,0.0,0.6,0.0,0.0,0.1602499634027481,0.0121059566736221,0.1153994277119636,0.0011822606902569,0.0004971544840373,0.0011042262194678,0,"The text contains several toxic elements, including: accusations of fabrication and bias against a specific news outlet (NY Times), labeling all news outlets as ""so called reporting"", and using derogatory language to describe the news (""hunk of crap"").",False,"['The reporter made up a whole bunch of things that the women said they never did say.', 'There are no respectful news outlets left in this country.', 'They get a story and add all their own views and not telling the real stuff.']"
"As Matt Taibbi aptly described these hooligans:

""...these people may be dangerous, but their boundless self-pity, their outrageous sense of entitlement and their slapstick incompetence as rebels and terrorists are absolutely ridiculous.""",1,eng,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3844736814498901,0.0490447245538234,0.0057328362017869,0.0266262963414192,0.0013140273513272,0.001027020975016,0,"The text uses sarcasm to mock individuals with a sense of entitlement and incompetence, which could be perceived as belittling or demeaning.",True,"['these people may be dangerous', 'their outrageous sense of entitlement', 'their slapstick incompetence']"
"I believe your whole post is contained in your last sentence, but I can't personally appreciate the jolly remarks about Trump and Spicer.  They are both LYING INTENTIONALLY to the American people,  and even with my twisted sense of humor I can't chuckle or even snort.  I applaud almost everything you write, so this isn't meant as a criticism...what those two buffoons are doing should be halted, and damned fast. 

Blessings to you (anyway).  😎",1,eng,0.6,0.0,0.5,0.0,0.7,0.0,0.0,0.0553550273180007,0.0127677144482731,0.0063015334308147,0.0051990197971463,0.0006853712256997,0.0005565401515923,0,"The text contains a criticism of Trump and Spicer, which could be perceived as inflammatory or divisive.",False,"['They are both LYING INTENTIONALLY to the American people', 'what those two buffoons are doing should be halted, and damned fast']"
"""Imagine what the black market/dispensary weed contains?""

Yes, just what we need in this discussion: more of the imaginary. The imaginary has been haunting MJ since 1923 when it was outlawed in Parliament without debate; the imaginary is what led it to being added to the Narcotic Control Act of 1961, which had the dubious honour of placing cannabis on a controlled substances list with heroin, cocaine, and, ultimately, meth-amphetamines; and the police-imaginary helped fuel public beliefs in growers as gangsters (which I refute above).

And we'll have to go on imagining, since Federal policymakers at Health Canada and elsewhere have rigged things so that independent labs are not legally permitted to test dispensary MJ or they could lose their lab licences. So, thank you, once again HC for perpetuating ignorance and risking the health of CDNs! A level of hypocrisy not seen since Tony Clement left his post as Min. at HC.",1,eng,0.6,0.0,0.1,0.0,0.4,0.2,0.0,0.0014862649841234,0.0002110512141371,0.0001924809621414,0.0001928669516928,9.390802006237207e-05,9.804300498217344e-05,0,"The text contains sarcastic language and tone, particularly when referring to Health Canada as perpetuating ignorance and risking the health of Canadians.",True,"['more of the imaginary', 'thank you, once again HC for perpetuating ignorance and risking the health of CDNs!']"
